method,rate,eval_set,n_cover,n_stego,auc,pe,auc_r,auc_g,auc_b,pe_r,pe_g,pe_b
lsbr,0.05,test250,250,250,0.516352,0.47,0.514424,0.51652,0.515504,0.476,0.476,0.478
lsbr,0.05,all500,500,500,0.515288,0.48,0.515092,0.516544,0.514778,0.48,0.482,0.482
lsbr,0.1,test250,250,250,0.53248,0.458,0.527608,0.534032,0.533024,0.464,0.458,0.464
lsbr,0.1,all500,500,500,0.532026,0.469,0.529848,0.53444,0.531238,0.467,0.467,0.471
lsbr,0.25,test250,250,250,0.583504,0.414,0.5754,0.581176,0.583168,0.424,0.424,0.428
lsbr,0.25,all500,500,500,0.584274,0.428,0.580464,0.583548,0.583948,0.425,0.43,0.425
lsbr,0.5,test250,250,250,0.681856,0.356,0.679672,0.675848,0.680912,0.36,0.366,0.362
lsbr,0.5,all500,500,500,0.688242,0.349,0.683124,0.686644,0.683726,0.353,0.358,0.361
lsbr,1.0,test250,250,250,0.955088,0.106,0.922,0.928144,0.938848,0.146,0.132,0.112
lsbr,1.0,all500,500,500,0.955608,0.1,0.927192,0.929724,0.937056,0.138,0.123,0.122
hill,0.05,test250,250,250,0.501488,0.492,0.501752,0.501304,0.50152,0.488,0.488,0.492
hill,0.05,all500,500,500,0.501052,0.495,0.500688,0.500968,0.501034,0.493,0.492,0.492
hill,0.1,test250,250,250,0.501616,0.49,0.501352,0.501304,0.501888,0.486,0.488,0.49
hill,0.1,all500,500,500,0.502142,0.493,0.50182,0.501584,0.501502,0.491,0.492,0.492
hill,0.25,test250,250,250,0.5052,0.482,0.50324,0.5006,0.506384,0.488,0.488,0.488
hill,0.25,all500,500,500,0.50463,0.491,0.504008,0.501924,0.504122,0.49,0.492,0.491
hill,0.5,test250,250,250,0.51056,0.484,0.506056,0.508304,0.509712,0.482,0.484,0.482
hill,0.5,all500,500,500,0.50885,0.485,0.507604,0.507948,0.507874,0.488,0.486,0.485
hill,1.0,test250,250,250,0.52288,0.468,0.516808,0.51292,0.522992,0.476,0.474,0.476
hill,1.0,all500,500,500,0.521724,0.472,0.517744,0.513908,0.521708,0.476,0.48,0.479
lsbm,0.05,test250,250,250,0.503344,0.488,0.502632,0.502344,0.502784,0.486,0.49,0.49
lsbm,0.05,all500,500,500,0.503976,0.49,0.50326,0.503028,0.503084,0.487,0.492,0.493
lsbm,0.1,test250,250,250,0.50912,0.484,0.504784,0.506496,0.508784,0.484,0.484,0.484
lsbm,0.1,all500,500,500,0.509816,0.484,0.506684,0.507436,0.507752,0.488,0.488,0.487
lsbm,0.25,test250,250,250,0.52552,0.466,0.517472,0.511752,0.520224,0.474,0.48,0.468
lsbm,0.25,all500,500,500,0.525406,0.469,0.518764,0.514216,0.522784,0.477,0.482,0.476
lsbm,0.5,test250,250,250,0.557264,0.444,0.54404,0.52736,0.550912,0.46,0.466,0.45
lsbm,0.5,all500,500,500,0.560166,0.447,0.544172,0.535496,0.551896,0.462,0.463,0.456
lsbm,1.0,test250,250,250,0.647824,0.384,0.602512,0.581424,0.639968,0.416,0.432,0.388
lsbm,1.0,all500,500,500,0.65145,0.387,0.609844,0.59282,0.643972,0.422,0.432,0.394
