rate,eval_set,n_cover,n_stego,auc,pe,auc_r,auc_g,auc_b,pe_r,pe_g,pe_b
0.05,test250,250,250,0.487488,0.464,0.502488,0.503576,0.463696,0.482,0.486,0.428
0.05,all500,500,500,0.489836,0.472,0.505264,0.503008,0.464116,0.489,0.491,0.444
0.1,test250,250,250,0.456384,0.42,0.506744,0.504264,0.391792,0.48,0.484,0.356
0.1,all500,500,500,0.4581,0.429,0.507648,0.50626,0.389922,0.485,0.488,0.363
0.25,test250,250,250,0.351632,0.308,0.513776,0.513256,0.224448,0.478,0.47,0.184
0.25,all500,500,500,0.341136,0.301,0.5145,0.51278,0.222816,0.482,0.482,0.18
0.5,test250,250,250,0.228544,0.162,0.531496,0.51908,0.108864,0.466,0.472,0.078
0.5,all500,500,500,0.219958,0.157,0.53218,0.526128,0.11287,0.469,0.472,0.084
1.0,test250,250,250,0.092,0.092,0.573288,0.558544,0.032,0.442,0.442,0.032
1.0,all500,500,500,0.085,0.085,0.56824,0.57294,0.037,0.443,0.439,0.037
