config,image,rate,position,p_embed
baseline,00054.png,0.25,0.009972,0.675973
baseline,00054.png,0.25,0.019945,0.012669
baseline,00054.png,0.25,0.029963,5.6e-05
baseline,00054.png,0.25,0.039936,0.0
baseline,00054.png,0.25,0.049954,0.0
baseline,00054.png,0.25,0.059972,0.0
baseline,00054.png,0.25,0.069945,0.0
baseline,00054.png,0.25,0.079963,0.0
baseline,00054.png,0.25,0.089936,0.0
baseline,00054.png,0.25,0.099954,0.0
baseline,00054.png,0.25,0.109972,0.0
baseline,00054.png,0.25,0.119945,0.0
baseline,00054.png,0.25,0.129963,0.0
baseline,00054.png,0.25,0.139936,0.0
baseline,00054.png,0.25,0.149954,0.0
baseline,00054.png,0.25,0.159972,0.0
baseline,00054.png,0.25,0.169945,0.0
baseline,00054.png,0.25,0.179963,0.0
baseline,00054.png,0.25,0.189936,0.0
baseline,00054.png,0.25,0.199954,0.0
baseline,00054.png,0.25,0.209972,0.0
baseline,00054.png,0.25,0.219945,0.0
baseline,00054.png,0.25,0.229963,0.0
baseline,00054.png,0.25,0.239936,0.0
baseline,00054.png,0.25,0.249954,0.0
baseline,00054.png,0.25,0.259972,0.0
baseline,00054.png,0.25,0.269945,0.0
baseline,00054.png,0.25,0.279963,0.0
baseline,00054.png,0.25,0.289936,0.0
baseline,00054.png,0.25,0.299954,0.0
baseline,00054.png,0.25,0.309972,0.0
baseline,00054.png,0.25,0.319945,0.0
baseline,00054.png,0.25,0.329963,0.0
baseline,00054.png,0.25,0.339982,0.0
baseline,00054.png,0.25,0.349954,0.0
baseline,00054.png,0.25,0.359972,0.0
baseline,00054.png,0.25,0.369945,0.0
baseline,00054.png,0.25,0.379963,0.0
baseline,00054.png,0.25,0.389982,0.0
baseline,00054.png,0.25,0.399954,0.0
baseline,00054.png,0.25,0.409972,0.0
baseline,00054.png,0.25,0.419945,0.0
baseline,00054.png,0.25,0.429963,0.0
baseline,00054.png,0.25,0.439982,0.0
baseline,00054.png,0.25,0.449954,0.0
