config,rate,model,n_splits,auc_mean,auc_std,pe_mean,pe_std
lsbr,0.05,ensemble,10,0.66896,0.011948,0.3732,0.009806
lsbr,0.05,svm,10,0.678605,0.009587,0.3616,0.005643
lsbr,0.1,ensemble,10,0.773573,0.015784,0.2978,0.0166
lsbr,0.1,svm,10,0.775088,0.010558,0.2858,0.008829
lsbr,0.25,ensemble,10,0.891925,0.013786,0.1882,0.016696
lsbr,0.25,svm,10,0.882426,0.015082,0.1928,0.016497
lsbr,0.5,ensemble,10,0.943866,0.009061,0.1278,0.014013
lsbr,0.5,svm,10,0.944955,0.00875,0.1258,0.0126
lsbr,1.0,ensemble,10,0.975826,0.00577,0.0802,0.01331
lsbr,1.0,svm,10,0.979187,0.00418,0.0682,0.009978
lsbm,0.05,ensemble,10,0.671464,0.010843,0.3744,0.009372
lsbm,0.05,svm,10,0.680368,0.010065,0.3578,0.008506
lsbm,0.1,ensemble,10,0.77493,0.016252,0.2984,0.017545
lsbm,0.1,svm,10,0.776306,0.012768,0.2856,0.010538
lsbm,0.25,ensemble,10,0.888899,0.012973,0.192,0.012869
lsbm,0.25,svm,10,0.878042,0.01525,0.193,0.016006
lsbm,0.5,ensemble,10,0.938365,0.00989,0.1356,0.013879
lsbm,0.5,svm,10,0.937861,0.009812,0.1358,0.015296
lsbm,1.0,ensemble,10,0.971173,0.00595,0.0874,0.013268
lsbm,1.0,svm,10,0.971939,0.004566,0.0824,0.0108
hill,0.05,ensemble,10,0.51232,0.002334,0.4776,0.002939
hill,0.05,svm,10,0.52072,0.004717,0.4688,0.006145
hill,0.1,ensemble,10,0.538494,0.004636,0.4582,0.006226
hill,0.1,svm,10,0.549643,0.006058,0.4484,0.0048
hill,0.25,ensemble,10,0.62683,0.007901,0.4022,0.00756
hill,0.25,svm,10,0.635272,0.008039,0.3904,0.008089
hill,0.5,ensemble,10,0.751509,0.012365,0.3132,0.011356
hill,0.5,svm,10,0.750165,0.01211,0.3016,0.012579
hill,1.0,ensemble,10,0.883202,0.012718,0.1988,0.018181
hill,1.0,svm,10,0.877317,0.011632,0.1938,0.014407
