config,rate,eval_set,n_cover,n_stego,auc,pe,auc_r,auc_g,auc_b,mean_phat_stego,std_phat_stego,bias,mae,mean_phat_cover
p1,0.05,test250,250,250,0.526336,0.462,0.500304,0.49872,0.54584,0.086145,0.27387,0.036145,0.107195,0.083419
p1,0.05,all500,500,500,0.527076,0.455,0.501828,0.499732,0.546048,0.097101,0.341438,0.047101,0.119994,0.095103
p1,0.1,test250,250,250,0.5392,0.436,0.497648,0.495376,0.576832,0.085718,0.264297,-0.014282,0.133636,0.083419
p1,0.1,all500,500,500,0.542492,0.44,0.49942,0.49936,0.575728,0.095891,0.32883,-0.004109,0.145435,0.095103
p1,0.25,test250,250,250,0.594,0.398,0.50816,0.499904,0.65296,0.08474,0.224529,-0.16526,0.235538,0.083419
p1,0.25,all500,500,500,0.581644,0.409,0.50258,0.492696,0.65,0.093709,0.292149,-0.156291,0.249762,0.095103
p1,0.5,test250,250,250,0.600448,0.386,0.50656,0.507664,0.680368,0.073166,0.164981,-0.426834,0.446186,0.083419
p1,0.5,all500,500,500,0.599996,0.385,0.50396,0.510892,0.675768,0.083251,0.238364,-0.416749,0.457308,0.095103
p1,1.0,test250,250,250,0.469504,0.454,0.453312,0.496024,0.492688,0.026005,0.12871,-0.973995,0.973995,0.083419
p1,1.0,all500,500,500,0.477536,0.464,0.459876,0.479746,0.51068,0.033928,0.155667,-0.966072,0.971157,0.095103
p2,0.05,test250,250,250,0.545472,0.442,0.496784,0.51188,0.581472,0.087117,0.274805,0.037117,0.104935,0.083419
p2,0.05,all500,500,500,0.544476,0.445,0.501068,0.508438,0.576788,0.09824,0.341629,0.04824,0.118023,0.095103
p2,0.1,test250,250,250,0.584208,0.396,0.490496,0.507408,0.648848,0.086424,0.254858,-0.013576,0.128021,0.083419
p2,0.1,all500,500,500,0.57896,0.415,0.490928,0.507236,0.64634,0.098947,0.32293,-0.001053,0.140884,0.095103
p2,0.25,test250,250,250,0.685808,0.298,0.492864,0.504896,0.766592,0.095244,0.215085,-0.154756,0.218478,0.083419
p2,0.25,all500,500,500,0.677984,0.301,0.49432,0.511988,0.77004,0.108085,0.282793,-0.141915,0.231771,0.095103
p2,0.5,test250,250,250,0.765248,0.22,0.481216,0.521616,0.827568,0.108371,0.165813,-0.391629,0.4145,0.083419
p2,0.5,all500,500,500,0.773156,0.221,0.499528,0.518284,0.84642,0.1176,0.197865,-0.3824,0.41752,0.095103
p2,1.0,test250,250,250,0.857024,0.126,0.459504,0.487056,0.911296,0.147573,0.091075,-0.852427,0.852427,0.083419
p2,1.0,all500,500,500,0.8546,0.124,0.464664,0.477088,0.912876,0.145027,0.103012,-0.854973,0.854973,0.095103
p3,0.05,test250,250,250,0.491856,0.484,0.492208,0.51024,0.49184,0.079873,0.276304,0.029873,0.10887,0.083419
p3,0.05,all500,500,500,0.493172,0.487,0.494152,0.5085,0.495284,0.0924,0.349204,0.0424,0.123282,0.095103
p3,0.1,test250,250,250,0.503088,0.48,0.498944,0.502496,0.498736,0.076171,0.248269,-0.023829,0.133543,0.083419
p3,0.1,all500,500,500,0.503196,0.488,0.49884,0.500784,0.502432,0.089245,0.328211,-0.010755,0.149613,0.095103
p3,0.25,test250,250,250,0.505408,0.478,0.492864,0.504192,0.491968,0.068875,0.221174,-0.181125,0.241287,0.083419
p3,0.25,all500,500,500,0.50096,0.485,0.494428,0.5049,0.501752,0.08129,0.297524,-0.16871,0.25779,0.095103
p3,0.5,test250,250,250,0.488144,0.462,0.487136,0.49448,0.483456,0.057266,0.178721,-0.442734,0.467794,0.083419
p3,0.5,all500,500,500,0.496508,0.471,0.491476,0.507506,0.494436,0.07077,0.260661,-0.42923,0.476894,0.095103
p3,1.0,test250,250,250,0.472864,0.446,0.441072,0.50324,0.486304,0.041142,0.135379,-0.958858,0.958858,0.083419
p3,1.0,all500,500,500,0.47832,0.461,0.448572,0.482556,0.516396,0.049634,0.189432,-0.950366,0.958613,0.095103
all,0.05,test250,250,250,0.503776,0.478,0.502784,0.493072,0.504528,0.082992,0.277703,0.032992,0.108714,0.083419
all,0.05,all500,500,500,0.500752,0.489,0.503248,0.4978,0.501664,0.093197,0.341432,0.043197,0.121773,0.095103
all,0.1,test250,250,250,0.515456,0.47,0.496608,0.513936,0.509904,0.082415,0.265581,-0.017585,0.135162,0.083419
all,0.1,all500,500,500,0.505796,0.48,0.497656,0.50631,0.50148,0.091832,0.331707,-0.008168,0.150064,0.095103
all,0.25,test250,250,250,0.50784,0.478,0.49912,0.506976,0.506016,0.073601,0.219774,-0.176399,0.241141,0.083419
all,0.25,all500,500,500,0.498648,0.487,0.497996,0.501612,0.499228,0.081619,0.284225,-0.168381,0.256206,0.095103
all,0.5,test250,250,250,0.49664,0.476,0.487152,0.49072,0.513088,0.060051,0.179479,-0.439949,0.462622,0.083419
all,0.5,all500,500,500,0.499928,0.48,0.490804,0.501164,0.509544,0.068234,0.226747,-0.431766,0.469508,0.095103
all,1.0,test250,250,250,0.51368,0.472,0.505856,0.536304,0.493728,0.056821,0.133517,-0.943179,0.943238,0.083419
all,1.0,all500,500,500,0.506156,0.473,0.497448,0.514212,0.510292,0.035151,0.408024,-0.964849,0.964947,0.095103
p13,0.05,test250,250,250,0.504112,0.48,0.504672,0.48872,0.500576,0.082375,0.277191,0.032375,0.108356,0.083419
p13,0.05,all500,500,500,0.501896,0.488,0.505104,0.496038,0.500328,0.093298,0.343859,0.043298,0.121771,0.095103
p13,0.1,test250,250,250,0.511488,0.474,0.497856,0.514128,0.503856,0.081301,0.266281,-0.018699,0.135681,0.083419
p13,0.1,all500,500,500,0.506748,0.477,0.497572,0.504186,0.501332,0.092045,0.337411,-0.007955,0.150742,0.095103
