attack,switches,rate,image,label,score
chi,,,00054.png,cover,0.030787
rs,,,00054.png,cover,-0.00502
spa,,,00054.png,cover,-0.000317
chi,,,00075.png,cover,0.000366
rs,,,00075.png,cover,0.003514
spa,,,00075.png,cover,-0.015776
chi,,,00283.png,cover,0.997499
rs,,,00283.png,cover,0.05454
spa,,,00283.png,cover,0.03649
chi,,,00465.png,cover,1e-05
rs,,,00465.png,cover,0.013802
spa,,,00465.png,cover,-0.007694
chi,,,01221.png,cover,0.994866
rs,,,01221.png,cover,-0.002221
spa,,,01221.png,cover,0.068904
chi,,,01268.png,cover,0.0
rs,,,01268.png,cover,0.00401
spa,,,01268.png,cover,0.010183
chi,,,01935.png,cover,0.0
rs,,,01935.png,cover,0.070972
spa,,,01935.png,cover,0.040525
chi,,,02553.png,cover,0.921177
rs,,,02553.png,cover,-0.01049
spa,,,02553.png,cover,0.03772
chi,,,03102.png,cover,0.0
rs,,,03102.png,cover,0.139309
spa,,,03102.png,cover,0.102087
chi,,,03249.png,cover,0.964155
rs,,,03249.png,cover,0.038281
spa,,,03249.png,cover,0.009379
chi,,,04166.png,cover,0.0
rs,,,04166.png,cover,0.061296
spa,,,04166.png,cover,0.125667
chi,,,04208.png,cover,0.0
rs,,,04208.png,cover,-0.001171
spa,,,04208.png,cover,-0.008829
chi,,,04723.png,cover,0.0
rs,,,04723.png,cover,-0.011247
spa,,,04723.png,cover,-0.046216
chi,,,05230.png,cover,0.04949
rs,,,05230.png,cover,-0.069649
spa,,,05230.png,cover,-0.053443
chi,,,05483.png,cover,0.0
rs,,,05483.png,cover,0.30179
spa,,,05483.png,cover,0.271823
chi,,,05696.png,cover,0.902859
rs,,,05696.png,cover,-0.051884
spa,,,05696.png,cover,0.032074
chi,,,05818.png,cover,0.697303
rs,,,05818.png,cover,0.086233
spa,,,05818.png,cover,0.031258
chi,,,06007.png,cover,0.0
rs,,,06007.png,cover,0.052611
spa,,,06007.png,cover,0.001894
chi,,,06176.png,cover,0.999961
rs,,,06176.png,cover,0.022613
spa,,,06176.png,cover,-0.00898
chi,,,06573.png,cover,0.0
rs,,,06573.png,cover,0.209583
spa,,,06573.png,cover,0.120595
chi,,,06631.png,cover,0.0
rs,,,06631.png,cover,0.090436
spa,,,06631.png,cover,0.013354
chi,,,07456.png,cover,0.998912
rs,,,07456.png,cover,-0.019472
