method,rate,eval_set,n_cover,n_stego,auc,pe,auc_r,auc_g,auc_b,mean_phat_stego,std_phat_stego,bias,mae,mean_phat_cover
lsbr,0.05,test250,250,250,0.7536,0.226,0.695456,0.732304,0.683664,0.083737,0.104015,0.039466,0.057506,0.042136
lsbr,0.05,all500,500,500,0.755596,0.232,0.69286,0.728522,0.673816,0.083487,0.108748,0.039216,0.058311,0.040979
lsbr,0.1,test250,250,250,0.837088,0.146,0.803648,0.863408,0.778544,0.126556,0.101775,0.038014,0.057017,0.042136
lsbr,0.1,all500,500,500,0.842548,0.142,0.795752,0.848554,0.779608,0.125608,0.10529,0.037066,0.056816,0.040979
lsbr,0.25,test250,250,250,0.926896,0.066,0.924144,0.952016,0.877408,0.254697,0.092423,0.033343,0.05075,0.042136
lsbr,0.25,all500,500,500,0.931148,0.066,0.918992,0.941488,0.885384,0.252851,0.094097,0.031497,0.051014,0.040979
lsbr,0.5,test250,250,250,0.984608,0.02,0.964176,0.983616,0.947408,0.464756,0.068135,0.022048,0.039765,0.042136
lsbr,0.5,all500,500,500,0.980004,0.024,0.967404,0.975296,0.950176,0.465226,0.070659,0.022518,0.040605,0.040979
lsbr,1.0,test250,250,250,1.0,0.0,0.99688,0.999984,0.991392,0.884815,0.045564,-0.000602,0.032584,0.042136
lsbr,1.0,all500,500,500,0.999996,0.001,0.99724,0.997112,0.993012,0.887891,0.045522,0.002475,0.033496,0.040979
hill,0.05,test250,250,250,0.498416,0.484,0.501592,0.505696,0.493648,0.042029,0.109903,-0.002241,0.072498,0.042136
hill,0.05,all500,500,500,0.49852,0.491,0.499326,0.50364,0.49699,0.040852,0.114573,-0.003418,0.07336,0.040979
hill,0.1,test250,250,250,0.498576,0.484,0.50224,0.499424,0.496752,0.042372,0.109346,-0.04617,0.098717,0.042136
hill,0.1,all500,500,500,0.500636,0.49,0.500946,0.498838,0.499372,0.041023,0.114013,-0.047519,0.100545,0.040979
hill,0.25,test250,250,250,0.508032,0.478,0.495784,0.504496,0.511,0.042645,0.109941,-0.17871,0.199749,0.042136
hill,0.25,all500,500,500,0.503388,0.486,0.503474,0.499436,0.503262,0.041357,0.114249,-0.179998,0.203438,0.040979
hill,0.5,test250,250,250,0.500816,0.478,0.506544,0.512672,0.495952,0.042837,0.114071,-0.399871,0.40411,0.042136
hill,0.5,all500,500,500,0.502388,0.486,0.505964,0.509406,0.500612,0.041988,0.116123,-0.40072,0.405685,0.040979
hill,1.0,test250,250,250,0.523248,0.462,0.494616,0.521904,0.50248,0.04467,0.114575,-0.840747,0.840747,0.042136
hill,1.0,all500,500,500,0.514448,0.474,0.502074,0.511596,0.505124,0.042402,0.115345,-0.843014,0.843014,0.040979
lsbm,0.05,test250,250,250,0.502768,0.482,0.499616,0.5004,0.500608,0.042477,0.109605,-0.001794,0.072251,0.042136
lsbm,0.05,all500,500,500,0.503512,0.479,0.502272,0.500446,0.500914,0.041973,0.114335,-0.002298,0.072647,0.040979
lsbm,0.1,test250,250,250,0.50368,0.48,0.495984,0.508016,0.503712,0.044139,0.113338,-0.044403,0.099629,0.042136
lsbm,0.1,all500,500,500,0.501288,0.482,0.497416,0.506644,0.50294,0.042943,0.116597,-0.045598,0.100674,0.040979
lsbm,0.25,test250,250,250,0.509264,0.48,0.513808,0.500224,0.499424,0.048327,0.119909,-0.173028,0.199112,0.042136
lsbm,0.25,all500,500,500,0.507756,0.484,0.511092,0.50306,0.501934,0.046123,0.12267,-0.175231,0.202743,0.040979
lsbm,0.5,test250,250,250,0.513936,0.476,0.503552,0.494544,0.494352,0.049241,0.122098,-0.393467,0.398426,0.042136
lsbm,0.5,all500,500,500,0.518996,0.475,0.517926,0.497208,0.50734,0.047942,0.124168,-0.394766,0.40147,0.040979
lsbm,1.0,test250,250,250,0.518544,0.458,0.508528,0.52088,0.49344,0.046093,0.122331,-0.839323,0.839323,0.042136
lsbm,1.0,all500,500,500,0.527484,0.458,0.522324,0.513994,0.512492,0.048075,0.125765,-0.837342,0.837342,0.040979
