config,rate,n,roundtrip_fail_frac,mse_global_rgb_mean,mse_global_r_mean,mse_global_g_mean,mse_global_b_mean,mse_global_y_mean,mse_region_rgb_mean,mse_region_r_mean,mse_region_g_mean,mse_region_b_mean,mse_region_y_mean,psnr_global_rgb_mean,psnr_global_r_mean,psnr_global_g_mean,psnr_global_b_mean,psnr_global_y_mean,psnr_region_rgb_mean,psnr_region_r_mean,psnr_region_g_mean,psnr_region_b_mean,psnr_region_y_mean,ssim_global_chan_mean,ssim_global_y_mean,ssim_region_chan_mean,ssim_region_y_mean,mse_global_rgb_std,mse_global_r_std,mse_global_g_std,mse_global_b_std,mse_global_y_std,mse_region_rgb_std,mse_region_r_std,mse_region_g_std,mse_region_b_std,mse_region_y_std,psnr_global_rgb_std,psnr_global_r_std,psnr_global_g_std,psnr_global_b_std,psnr_global_y_std,psnr_region_rgb_std,psnr_region_r_std,psnr_region_g_std,psnr_region_b_std,psnr_region_y_std,ssim_global_chan_std,ssim_global_y_std,ssim_region_chan_std,ssim_region_y_std,psnr_global_rgb_delta,psnr_region_rgb_delta,ssim_global_chan_delta
p1,0.05,500,0.172,0.024852,0.024696,0.02487,0.024989,0.017947,0.498987,0.495864,0.499349,0.501748,0.360348,64.178802,64.235167,64.174898,64.156227,65.593627,51.151504,51.207869,51.1476,51.128929,52.566329,0.99986,0.999893,0.99986,0.999893,0.000633,0.001646,0.000482,0.000917,0.000584,0.012714,0.033058,0.009685,0.01841,0.011729,0.121502,0.72558,0.08612,0.162407,0.161798,0.121502,0.72558,0.08612,0.162407,0.161798,8.7e-05,6.4e-05,8.7e-05,6.4e-05,0.000283,0.000282,-6.2e-05
p1,0.1,500,0.196,0.049664,0.049377,0.049702,0.049912,0.035872,0.498586,0.495707,0.498973,0.501079,0.360124,61.171931,61.22539,61.167612,61.151476,62.58579,51.154933,51.208392,51.150615,51.134478,52.568792,0.999726,0.999793,0.999726,0.999793,0.001234,0.003223,0.000798,0.001732,0.001106,0.012384,0.032357,0.00801,0.017388,0.011103,0.119539,0.716408,0.071829,0.156506,0.155607,0.119539,0.716408,0.071829,0.156506,0.155607,0.000171,0.000124,0.000171,0.000124,0.001063,0.001063,-0.000105
p1,0.25,500,0.228,0.124199,0.123489,0.124339,0.12477,0.08972,0.498746,0.495894,0.499308,0.501037,0.360289,57.19106,57.244912,57.185097,57.172125,58.60422,51.153463,51.207314,51.147499,51.134528,52.566622,0.99936,0.999539,0.99936,0.999539,0.002996,0.007974,0.001595,0.00408,0.002647,0.012029,0.032022,0.006407,0.016383,0.010628,0.116492,0.731918,0.058429,0.147077,0.150157,0.116492,0.731918,0.058429,0.147077,0.150157,0.000413,0.000277,0.000413,0.000277,-0.000446,-0.000446,-0.00021
p1,0.5,500,0.244,0.248377,0.246901,0.248666,0.249565,0.179439,0.498703,0.495739,0.499282,0.501086,0.360286,54.181069,54.236209,54.174947,54.161358,55.593831,51.153771,51.208912,51.147649,51.13406,52.566533,0.998866,0.999263,0.998866,0.999263,0.005847,0.015834,0.002817,0.008113,0.005132,0.01174,0.031793,0.005656,0.01629,0.010305,0.113615,0.739813,0.052449,0.145922,0.146291,0.113615,0.739813,0.052449,0.145922,0.146291,0.000805,0.000446,0.000805,0.000446,0.000748,0.000748,-0.000286
p1,1.0,500,0.252,0.496853,0.493985,0.497516,0.499059,0.358995,0.498802,0.495922,0.499467,0.501016,0.360403,51.169911,51.223724,51.163007,51.151674,52.582114,51.152913,51.206726,51.146009,51.134676,52.565116,0.998318,0.999261,0.998318,0.999261,0.011723,0.031541,0.005356,0.016222,0.010232,0.011769,0.031664,0.005377,0.016285,0.010273,0.113914,0.729682,0.050085,0.146127,0.146082,0.113914,0.729682,0.050085,0.146127,0.146082,0.001685,0.00048,0.001685,0.00048,-0.000784,-0.000784,-0.0
p2,0.05,500,0.0,0.024932,0.024904,0.024927,0.024965,0.011307,0.500597,0.500036,0.500496,0.501258,0.227031,64.163679,64.168794,64.164764,64.160121,67.598046,51.136381,51.141496,51.137466,51.132824,54.570748,0.999872,0.999939,0.996737,0.998431,0.000363,0.000449,0.000439,0.000883,0.000215,0.007296,0.00902,0.008806,0.017733,0.004323,0.063004,0.078335,0.076327,0.150343,0.082665,0.063004,0.078335,0.076327,0.150343,0.082665,9.4e-05,3.8e-05,0.002468,0.00098,-0.01484,-0.014841,-5e-05
p2,0.1,500,0.0,0.04984,0.049798,0.049803,0.049921,0.022447,0.500359,0.499931,0.49998,0.501167,0.225355,61.15529,61.159061,61.158607,61.149859,64.619673,51.138292,51.142063,51.141609,51.132861,54.602675,0.99971,0.999861,0.996789,0.998465,0.000597,0.000644,0.000619,0.001484,0.000357,0.005998,0.006462,0.006212,0.014894,0.003583,0.051823,0.056192,0.053967,0.127324,0.068793,0.051823,0.056192,0.053967,0.127324,0.068793,0.000208,8.6e-05,0.002331,0.000953,-0.015578,-0.015578,-0.000121
p2,0.25,500,0.0,0.124638,0.124523,0.124473,0.124917,0.055556,0.500505,0.500044,0.499846,0.501626,0.223095,57.174517,57.178444,57.180174,57.166054,60.683888,51.13692,51.140846,51.142576,51.128456,54.64629,0.999244,0.999641,0.99689,0.998525,0.001211,0.000959,0.000973,0.003288,0.000734,0.004864,0.003852,0.003906,0.013205,0.002948,0.04189,0.033474,0.033923,0.111385,0.05716,0.04189,0.033474,0.033923,0.111385,0.05716,0.000533,0.000221,0.0022,0.00091,-0.016989,-0.016989,-0.000326
p2,0.5,500,0.0,0.24931,0.249081,0.249034,0.249815,0.111192,0.500576,0.500115,0.500021,0.50159,0.223256,54.163564,54.167466,54.168278,54.155822,57.670478,51.136266,51.140168,51.14098,51.128524,54.64318,0.998503,0.999291,0.997003,0.99858,0.002157,0.001381,0.001336,0.006092,0.001462,0.004331,0.002774,0.002682,0.012232,0.002935,0.036967,0.024093,0.023299,0.100785,0.059897,0.036967,0.024093,0.023299,0.100785,0.059897,0.001067,0.000433,0.002137,0.000867,-0.016757,-0.016757,-0.000649
p2,1.0,500,0.0,0.498656,0.497945,0.498062,0.499962,0.222891,0.500612,0.499898,0.500015,0.501922,0.223765,51.152939,51.159025,51.158006,51.142651,54.6503,51.135941,51.142028,51.141008,51.125653,54.633302,0.997031,0.998604,0.997031,0.998604,0.004167,0.002032,0.001926,0.012392,0.002947,0.004184,0.00204,0.001933,0.012441,0.002959,0.03542,0.017725,0.016793,0.100458,0.061299,0.03542,0.017725,0.016793,0.100458,0.061299,0.002195,0.000835,0.002195,0.000835,-0.017756,-0.017756,-0.001287
