version,family,rate,attack,metric,value,eval_set
baseline,ours,0.05,chi2,auc,0.487488,test250
baseline,ours,0.05,chi2,auc_b,0.463696,test250
baseline,ours,0.05,chi2,pe,0.464,test250
baseline,ours,0.1,chi2,auc,0.456384,test250
baseline,ours,0.1,chi2,auc_b,0.391792,test250
baseline,ours,0.1,chi2,pe,0.42,test250
baseline,ours,0.25,chi2,auc,0.351632,test250
baseline,ours,0.25,chi2,auc_b,0.224448,test250
baseline,ours,0.25,chi2,pe,0.308,test250
baseline,ours,0.5,chi2,auc,0.228544,test250
baseline,ours,0.5,chi2,auc_b,0.108864,test250
baseline,ours,0.5,chi2,pe,0.162,test250
baseline,ours,1.0,chi2,auc,0.092,test250
baseline,ours,1.0,chi2,auc_b,0.032,test250
baseline,ours,1.0,chi2,pe,0.092,test250
baseline,ours,0.05,imperceptibility,mse_global,0.024852,
baseline,ours,0.05,imperceptibility,psnr_global,64.178519,
baseline,ours,0.05,imperceptibility,psnr_region,51.151222,
baseline,ours,0.05,imperceptibility,roundtrip_fail,0.106,
baseline,ours,0.05,imperceptibility,ssim_global,0.999922,
baseline,ours,0.1,imperceptibility,mse_global,0.049673,
baseline,ours,0.1,imperceptibility,psnr_global,61.170868,
baseline,ours,0.1,imperceptibility,psnr_region,51.15387,
baseline,ours,0.1,imperceptibility,roundtrip_fail,0.124,
baseline,ours,0.1,imperceptibility,ssim_global,0.999831,
baseline,ours,0.25,imperceptibility,mse_global,0.124184,
baseline,ours,0.25,imperceptibility,psnr_global,57.191506,
baseline,ours,0.25,imperceptibility,psnr_region,51.153909,
baseline,ours,0.25,imperceptibility,roundtrip_fail,0.166,
baseline,ours,0.25,imperceptibility,ssim_global,0.99957,
baseline,ours,0.5,imperceptibility,mse_global,0.248415,
baseline,ours,0.5,imperceptibility,psnr_global,54.180321,
baseline,ours,0.5,imperceptibility,psnr_region,51.153023,
baseline,ours,0.5,imperceptibility,roundtrip_fail,0.21,
baseline,ours,0.5,imperceptibility,ssim_global,0.999152,
baseline,ours,1.0,imperceptibility,mse_global,0.496762,
baseline,ours,1.0,imperceptibility,psnr_global,51.170695,
baseline,ours,1.0,imperceptibility,psnr_region,51.153697,
baseline,ours,1.0,imperceptibility,roundtrip_fail,0.256,
baseline,ours,1.0,imperceptibility,ssim_global,0.998318,
baseline,ours,0.05,ml,auc,0.577773,cv10
baseline,ours,0.05,ml,pe,0.431,cv10
baseline,ours,0.1,ml,auc,0.668243,cv10
baseline,ours,0.1,ml,pe,0.3682,cv10
baseline,ours,0.25,ml,auc,0.854722,cv10
baseline,ours,0.25,ml,pe,0.2168,cv10
baseline,ours,0.5,ml,auc,0.964296,cv10
baseline,ours,0.5,ml,pe,0.0896,cv10
baseline,ours,1.0,ml,auc,0.997362,cv10
baseline,ours,1.0,ml,pe,0.0196,cv10
baseline,ours,0.05,rs,auc,0.492144,test250
baseline,ours,0.05,rs,bias,0.029335,test250
baseline,ours,0.05,rs,pe,0.484,test250
baseline,ours,0.05,rs,phat,0.079335,test250
baseline,ours,0.1,rs,auc,0.495424,test250
baseline,ours,0.1,rs,bias,-0.025789,test250
baseline,ours,0.1,rs,pe,0.484,test250
baseline,ours,0.1,rs,phat,0.074211,test250
baseline,ours,0.25,rs,auc,0.509136,test250
baseline,ours,0.25,rs,bias,-0.180969,test250
baseline,ours,0.25,rs,pe,0.472,test250
baseline,ours,0.25,rs,phat,0.069031,test250
baseline,ours,0.5,rs,auc,0.495648,test250
baseline,ours,0.5,rs,bias,-0.442197,test250
baseline,ours,0.5,rs,pe,0.47,test250
baseline,ours,0.5,rs,phat,0.057803,test250
baseline,ours,1.0,rs,auc,0.495936,test250
baseline,ours,1.0,rs,bias,-0.967785,test250
baseline,ours,1.0,rs,pe,0.466,test250
baseline,ours,1.0,rs,phat,0.032215,test250
baseline,ours,0.05,spa,auc,0.497008,test250
baseline,ours,0.05,spa,bias,-0.009361,test250
baseline,ours,0.05,spa,pe,0.484,test250
baseline,ours,0.05,spa,phat,0.040639,test250
baseline,ours,0.1,spa,auc,0.501808,test250
baseline,ours,0.1,spa,bias,-0.061231,test250
baseline,ours,0.1,spa,pe,0.478,test250
baseline,ours,0.1,spa,phat,0.038769,test250
baseline,ours,0.25,spa,auc,0.508944,test250
baseline,ours,0.25,spa,bias,-0.211623,test250
baseline,ours,0.25,spa,pe,0.472,test250
baseline,ours,0.25,spa,phat,0.038377,test250
baseline,ours,0.5,spa,auc,0.502128,test250
baseline,ours,0.5,spa,bias,-0.464742,test250
baseline,ours,0.5,spa,pe,0.46,test250
baseline,ours,0.5,spa,phat,0.035258,test250
baseline,ours,1.0,spa,auc,0.48536,test250
baseline,ours,1.0,spa,bias,-0.969417,test250
baseline,ours,1.0,spa,pe,0.438,test250
baseline,ours,1.0,spa,phat,0.030583,test250
baseline,ours,0.05,stegexpose,auc,0.511648,test250
baseline,ours,0.05,stegexpose,pe,0.458,test250
baseline,ours,0.1,stegexpose,auc,0.514144,test250
baseline,ours,0.1,stegexpose,pe,0.466,test250
baseline,ours,0.25,stegexpose,auc,0.527904,test250
baseline,ours,0.25,stegexpose,pe,0.46,test250
baseline,ours,0.5,stegexpose,auc,0.524416,test250
baseline,ours,0.5,stegexpose,pe,0.456,test250
baseline,ours,1.0,stegexpose,auc,0.547648,test250
baseline,ours,1.0,stegexpose,pe,0.442,test250
p1,ours,0.05,chi2,auc,0.497152,test250
p1,ours,0.05,chi2,auc_b,0.482144,test250
p1,ours,0.05,chi2,pe,0.484,test250
p1,ours,0.1,chi2,auc,0.477952,test250
p1,ours,0.1,chi2,auc_b,0.427024,test250
p1,ours,0.1,chi2,pe,0.442,test250
p1,ours,0.25,chi2,auc,0.384816,test250
p1,ours,0.25,chi2,auc_b,0.262512,test250
p1,ours,0.25,chi2,pe,0.316,test250
p1,ours,0.5,chi2,auc,0.244688,test250
p1,ours,0.5,chi2,auc_b,0.125072,test250
p1,ours,0.5,chi2,pe,0.162,test250
p1,ours,1.0,chi2,auc,0.092,test250
p1,ours,1.0,chi2,auc_b,0.032,test250
p1,ours,1.0,chi2,pe,0.092,test250
p1,ours,0.05,imperceptibility,mse_global,0.024852,
p1,ours,0.05,imperceptibility,psnr_global,64.178802,
p1,ours,0.05,imperceptibility,psnr_region,51.151504,
p1,ours,0.05,imperceptibility,roundtrip_fail,0.172,
p1,ours,0.05,imperceptibility,ssim_global,0.99986,
p1,ours,0.1,imperceptibility,mse_global,0.049664,
p1,ours,0.1,imperceptibility,psnr_global,61.171931,
p1,ours,0.1,imperceptibility,psnr_region,51.154933,
p1,ours,0.1,imperceptibility,roundtrip_fail,0.196,
p1,ours,0.1,imperceptibility,ssim_global,0.999726,
p1,ours,0.25,imperceptibility,mse_global,0.124199,
p1,ours,0.25,imperceptibility,psnr_global,57.19106,
p1,ours,0.25,imperceptibility,psnr_region,51.153463,
p1,ours,0.25,imperceptibility,roundtrip_fail,0.228,
p1,ours,0.25,imperceptibility,ssim_global,0.99936,
