config,rate,group,model,auc_mean,auc_std,pe_mean,pe_std
baseline,0.05,all,ensemble,0.577773,0.007343,0.431,0.008112
baseline,0.05,spatial,ensemble,0.566654,0.00456,0.4374,0.004104
baseline,0.05,color,ensemble,0.594755,0.006946,0.416,0.008944
baseline,0.1,all,ensemble,0.668243,0.015732,0.3682,0.013869
baseline,0.1,spatial,ensemble,0.653293,0.010483,0.3752,0.010167
baseline,0.1,color,ensemble,0.695243,0.01219,0.3458,0.011539
baseline,0.25,all,ensemble,0.854722,0.019095,0.2168,0.020615
baseline,0.25,spatial,ensemble,0.850421,0.014033,0.2096,0.016895
baseline,0.25,color,ensemble,0.881154,0.015897,0.191,0.018873
baseline,0.5,all,ensemble,0.964296,0.008069,0.0896,0.012924
baseline,0.5,spatial,ensemble,0.970432,0.005847,0.0716,0.008845
baseline,0.5,color,ensemble,0.969517,0.006342,0.0832,0.009347
baseline,1.0,all,ensemble,0.997362,0.000932,0.0196,0.006248
baseline,1.0,spatial,ensemble,0.996624,0.001625,0.0214,0.005731
baseline,1.0,color,ensemble,0.996405,0.001899,0.0266,0.009468
p1,0.05,all,ensemble,0.596474,0.005971,0.424,0.005727
p1,0.05,spatial,ensemble,0.581266,0.006856,0.4338,0.006353
p1,0.05,color,ensemble,0.599258,0.005647,0.419,0.004669
p1,0.1,all,ensemble,0.675949,0.010715,0.3704,0.007579
p1,0.1,spatial,ensemble,0.647238,0.008502,0.3866,0.010161
p1,0.1,color,ensemble,0.686811,0.011196,0.3526,0.011315
p1,0.25,all,ensemble,0.81993,0.013681,0.2586,0.012651
p1,0.25,spatial,ensemble,0.764965,0.01045,0.3038,0.008875
p1,0.25,color,ensemble,0.83473,0.012654,0.2424,0.012192
p1,0.5,all,ensemble,0.921256,0.010592,0.151,0.01645
p1,0.5,spatial,ensemble,0.898923,0.010476,0.163,0.012369
p1,0.5,color,ensemble,0.9252,0.009288,0.153,0.00882
p1,1.0,all,ensemble,0.997339,0.000917,0.0186,0.005869
p1,1.0,spatial,ensemble,0.99651,0.001622,0.0222,0.006096
p1,1.0,color,ensemble,0.996389,0.00175,0.0262,0.008829
p2,0.05,all,ensemble,0.599755,0.007841,0.4148,0.005879
p2,0.05,spatial,ensemble,0.572403,0.004401,0.434,0.005933
p2,0.05,color,ensemble,0.636656,0.008925,0.3824,0.00804
p2,0.1,all,ensemble,0.700834,0.013428,0.3424,0.011517
p2,0.1,spatial,ensemble,0.661467,0.007039,0.371,0.005235
p2,0.1,color,ensemble,0.747237,0.014548,0.3014,0.011351
p2,0.25,all,ensemble,0.872318,0.01456,0.2016,0.02174
p2,0.25,spatial,ensemble,0.84932,0.012702,0.2172,0.013151
p2,0.25,color,ensemble,0.896973,0.01237,0.1768,0.016522
p2,0.5,all,ensemble,0.96677,0.006466,0.0886,0.011968
p2,0.5,spatial,ensemble,0.972499,0.006321,0.074,0.00743
p2,0.5,color,ensemble,0.970104,0.00434,0.083,0.011072
p2,1.0,all,ensemble,0.998466,0.000761,0.0132,0.004308
p2,1.0,spatial,ensemble,0.998547,0.000688,0.0146,0.005589
p2,1.0,color,ensemble,0.997261,0.001174,0.0216,0.005044
p3,0.05,all,ensemble,0.558926,0.005961,0.4484,0.006053
p3,0.05,spatial,ensemble,0.539605,0.005627,0.4612,0.004915
p3,0.05,color,ensemble,0.574717,0.005483,0.4318,0.008072
p3,0.1,all,ensemble,0.622155,0.01166,0.4052,0.009304
p3,0.1,spatial,ensemble,0.583746,0.006254,0.4342,0.007236
p3,0.1,color,ensemble,0.654528,0.009885,0.3808,0.007756
p3,0.25,all,ensemble,0.761947,0.015676,0.3064,0.014935
p3,0.25,spatial,ensemble,0.68675,0.008178,0.3626,0.006873
p3,0.25,color,ensemble,0.80176,0.014417,0.27,0.016829
p3,0.5,all,ensemble,0.868893,0.013709,0.2114,0.015698
p3,0.5,spatial,ensemble,0.791678,0.0105,0.2848,0.013212
p3,0.5,color,ensemble,0.889459,0.011582,0.1962,0.014098
p3,1.0,all,ensemble,0.945962,0.008092,0.1238,0.014323
p3,1.0,spatial,ensemble,0.89969,0.006078,0.177,0.012042
p3,1.0,color,ensemble,0.951066,0.005199,0.121,0.010286
all,0.05,all,ensemble,0.629886,0.006914,0.4002,0.005618
all,0.05,spatial,ensemble,0.595267,0.005195,0.423,0.005235
all,0.05,color,ensemble,0.65164,0.009601,0.3758,0.007507
all,0.1,all,ensemble,0.728898,0.011462,0.3252,0.011805
all,0.1,spatial,ensemble,0.666378,0.007735,0.3748,0.009086
all,0.1,color,ensemble,0.755584,0.01233,0.3006,0.011935
all,0.25,all,ensemble,0.864966,0.013104,0.215,0.014206
all,0.25,spatial,ensemble,0.784867,0.01435,0.2882,0.018165
all,0.25,color,ensemble,0.880702,0.01163,0.2024,0.012862
all,0.5,all,ensemble,0.930997,0.010701,0.148,0.015205
all,0.5,spatial,ensemble,0.87275,0.008782,0.2056,0.009372
all,0.5,color,ensemble,0.937864,0.007039,0.138,0.013565
all,1.0,all,ensemble,0.97257,0.005996,0.0856,0.012419
all,1.0,spatial,ensemble,0.934339,0.005611,0.1378,0.009897
all,1.0,color,ensemble,0.975528,0.003645,0.0796,0.005987
