config,rate,group,model,auc_mean,auc_std,pe_mean,pe_std
lsbr,0.05,all,ensemble,0.66896,0.011948,0.3732,0.009806
lsbr,0.05,spatial,ensemble,0.629074,0.006889,0.402,0.003899
lsbr,0.05,color,ensemble,0.69048,0.011224,0.356,0.008099
lsbr,0.1,all,ensemble,0.773573,0.015784,0.2978,0.0166
lsbr,0.1,spatial,ensemble,0.703509,0.012468,0.3502,0.012147
lsbr,0.1,color,ensemble,0.79736,0.014367,0.2752,0.013629
lsbr,0.25,all,ensemble,0.891925,0.013786,0.1882,0.016696
lsbr,0.25,spatial,ensemble,0.820701,0.011827,0.2584,0.012159
lsbr,0.25,color,ensemble,0.901821,0.011128,0.182,0.0121
lsbr,0.5,all,ensemble,0.943866,0.009061,0.1278,0.014013
lsbr,0.5,spatial,ensemble,0.911618,0.005565,0.1684,0.00799
lsbr,0.5,color,ensemble,0.947355,0.005479,0.1228,0.009968
lsbr,1.0,all,ensemble,0.975826,0.00577,0.0802,0.01331
lsbr,1.0,spatial,ensemble,0.964938,0.004278,0.1036,0.00898
lsbr,1.0,color,ensemble,0.976864,0.003893,0.0814,0.008052
lsbm,0.05,all,ensemble,0.671464,0.010843,0.3744,0.009372
lsbm,0.05,spatial,ensemble,0.628851,0.006846,0.4034,0.006264
lsbm,0.05,color,ensemble,0.69413,0.011042,0.353,0.006527
lsbm,0.1,all,ensemble,0.77493,0.016252,0.2984,0.017545
lsbm,0.1,spatial,ensemble,0.70647,0.013176,0.3488,0.010628
lsbm,0.1,color,ensemble,0.798762,0.014345,0.2734,0.015259
lsbm,0.25,all,ensemble,0.888899,0.012973,0.192,0.012869
lsbm,0.25,spatial,ensemble,0.815294,0.012082,0.2592,0.012718
lsbm,0.25,color,ensemble,0.899829,0.011681,0.1842,0.011746
lsbm,0.5,all,ensemble,0.938365,0.00989,0.1356,0.013879
lsbm,0.5,spatial,ensemble,0.887112,0.007206,0.1902,0.010486
lsbm,0.5,color,ensemble,0.944738,0.006097,0.1274,0.012134
lsbm,1.0,all,ensemble,0.971173,0.00595,0.0874,0.013268
lsbm,1.0,spatial,ensemble,0.938502,0.005459,0.131,0.010592
lsbm,1.0,color,ensemble,0.973726,0.003644,0.0834,0.0082
hill,0.05,all,ensemble,0.51232,0.002334,0.4776,0.002939
hill,0.05,spatial,ensemble,0.5028,0.002218,0.4838,0.00328
hill,0.05,color,ensemble,0.517917,0.001715,0.4734,0.00201
hill,0.1,all,ensemble,0.538494,0.004636,0.4582,0.006226
hill,0.1,spatial,ensemble,0.511021,0.001602,0.4802,0.00328
hill,0.1,color,ensemble,0.555574,0.004668,0.4462,0.004512
hill,0.25,all,ensemble,0.62683,0.007901,0.4022,0.00756
hill,0.25,spatial,ensemble,0.549781,0.004454,0.452,0.005215
hill,0.25,color,ensemble,0.665866,0.009759,0.3716,0.007526
hill,0.5,all,ensemble,0.751509,0.012365,0.3132,0.011356
hill,0.5,spatial,ensemble,0.622899,0.004999,0.402,0.005292
hill,0.5,color,ensemble,0.791706,0.01143,0.28,0.010198
hill,1.0,all,ensemble,0.883202,0.012718,0.1988,0.018181
hill,1.0,spatial,ensemble,0.783466,0.006487,0.2882,0.006539
hill,1.0,color,ensemble,0.892778,0.009827,0.192,0.013653
