rate,model,n_splits,auc_mean,auc_std,pe_mean,pe_std
0.05,ensemble,10,0.577773,0.007343,0.431,0.008112
0.05,svm,10,0.618966,0.009322,0.397,0.007603
0.1,ensemble,10,0.668243,0.015732,0.3682,0.013869
0.1,svm,10,0.746005,0.013576,0.3032,0.010852
0.25,ensemble,10,0.854722,0.019095,0.2168,0.020615
0.25,svm,10,0.923128,0.014407,0.1316,0.012831
0.5,ensemble,10,0.964296,0.008069,0.0896,0.012924
0.5,svm,10,0.979115,0.006731,0.0506,0.009124
1.0,ensemble,10,0.997362,0.000932,0.0196,0.006248
1.0,svm,10,0.996235,0.002099,0.0124,0.005643
