rate,eval_set,n_cover,n_stego,auc,pe,auc_r,auc_g,auc_b,mean_phat_stego,std_phat_stego,bias,mae,mean_phat_cover
0.05,test250,250,250,0.492144,0.484,0.494688,0.509232,0.497312,0.079335,0.27555,0.029335,0.108587,0.083419
0.05,all500,500,500,0.497848,0.489,0.49952,0.506748,0.497892,0.090869,0.342487,0.040869,0.120949,0.095103
0.1,test250,250,250,0.495424,0.484,0.494096,0.504592,0.497184,0.074211,0.255898,-0.025789,0.136902,0.083419
0.1,all500,500,500,0.499304,0.486,0.494872,0.505246,0.503524,0.087011,0.326867,-0.012989,0.149416,0.095103
0.25,test250,250,250,0.509136,0.472,0.51128,0.506016,0.493408,0.069031,0.217246,-0.180969,0.240703,0.083419
0.25,all500,500,500,0.505816,0.482,0.502824,0.511788,0.507612,0.081927,0.296715,-0.168073,0.256832,0.095103
0.5,test250,250,250,0.495648,0.47,0.4684,0.52472,0.500208,0.057803,0.172112,-0.442197,0.465243,0.083419
0.5,all500,500,500,0.500048,0.479,0.486692,0.517282,0.507392,0.067438,0.237735,-0.432562,0.473433,0.095103
1.0,test250,250,250,0.495936,0.466,0.464208,0.495536,0.502768,0.032215,0.105074,-0.967785,0.967785,0.083419
1.0,all500,500,500,0.489648,0.472,0.467172,0.485328,0.515316,0.038413,0.148107,-0.961587,0.966778,0.095103
