config,rate,eval_set,n_cover,n_stego,auc,pe,auc_r,auc_g,auc_b,mean_phat_stego,std_phat_stego,bias,mae,mean_phat_cover
p1,0.05,test250,250,250,0.511792,0.47,0.504992,0.511216,0.511936,0.043094,0.10937,-0.006906,0.074078,0.042136
p1,0.05,all500,500,500,0.510416,0.474,0.50386,0.508154,0.510476,0.041778,0.113343,-0.008222,0.074765,0.040979
p1,0.1,test250,250,250,0.524448,0.462,0.508928,0.50144,0.510016,0.04376,0.107204,-0.05624,0.102987,0.042136
p1,0.1,all500,500,500,0.515292,0.476,0.502396,0.502728,0.50824,0.041615,0.113128,-0.058385,0.106367,0.040979
p1,0.25,test250,250,250,0.543408,0.442,0.527264,0.507232,0.533992,0.046416,0.109222,-0.203584,0.218811,0.042136
p1,0.25,all500,500,500,0.525192,0.462,0.516514,0.50744,0.519738,0.043581,0.113349,-0.206419,0.22443,0.040979
p1,0.5,test250,250,250,0.530432,0.448,0.526224,0.491392,0.524832,0.044588,0.112559,-0.455412,0.45848,0.042136
p1,0.5,all500,500,500,0.52246,0.462,0.510632,0.499256,0.519748,0.041287,0.114301,-0.458713,0.462052,0.040979
p1,1.0,test250,250,250,0.4908,0.436,0.508456,0.512848,0.476568,0.032419,0.118165,-0.967581,0.967581,0.042136
p1,1.0,all500,500,500,0.490784,0.453,0.515926,0.501544,0.472826,0.030317,0.108187,-0.969683,0.969683,0.040979
p2,0.05,test250,250,250,0.54224,0.446,0.491904,0.511408,0.572864,0.046575,0.109091,-0.003425,0.071986,0.042136
p2,0.05,all500,500,500,0.539952,0.453,0.498646,0.502712,0.565452,0.045477,0.113441,-0.004523,0.072781,0.040979
p2,0.1,test250,250,250,0.587216,0.4,0.496576,0.495184,0.638592,0.050562,0.104368,-0.049438,0.096591,0.042136
p2,0.1,all500,500,500,0.585012,0.407,0.50073,0.507542,0.632776,0.05062,0.109623,-0.04938,0.098335,0.040979
p2,0.25,test250,250,250,0.692768,0.3,0.50632,0.502976,0.755392,0.066149,0.097703,-0.183851,0.19815,0.042136
p2,0.25,all500,500,500,0.688884,0.309,0.506096,0.509366,0.760606,0.066076,0.106036,-0.183924,0.202133,0.040979
