rate,eval_set,n_cover,n_stego,auc,pe,auc_r,auc_g,auc_b,mean_phat_stego,std_phat_stego,bias,mae,mean_phat_cover
0.05,test250,250,250,0.497008,0.484,0.491952,0.510224,0.494232,0.040639,0.1088,-0.009361,0.074568,0.042136
0.05,all500,500,500,0.498132,0.486,0.498094,0.504212,0.493854,0.039668,0.113714,-0.010332,0.075822,0.040979
0.1,test250,250,250,0.501808,0.478,0.48984,0.49456,0.488544,0.038769,0.104824,-0.061231,0.104767,0.042136
0.1,all500,500,500,0.504144,0.485,0.496064,0.507812,0.49223,0.038974,0.110501,-0.061026,0.106674,0.040979
0.25,test250,250,250,0.508944,0.472,0.500792,0.508368,0.492832,0.038377,0.098514,-0.211623,0.22324,0.042136
0.25,all500,500,500,0.510776,0.481,0.503622,0.513962,0.499096,0.038305,0.109247,-0.211695,0.227764,0.040979
0.5,test250,250,250,0.502128,0.46,0.48784,0.523456,0.48384,0.035258,0.097266,-0.464742,0.465358,0.042136
0.5,all500,500,500,0.509404,0.468,0.495568,0.52784,0.491888,0.037249,0.108389,-0.462751,0.464943,0.040979
1.0,test250,250,250,0.48536,0.438,0.47496,0.527744,0.481264,0.030583,0.120791,-0.969417,0.969417,0.042136
1.0,all500,500,500,0.50064,0.454,0.512964,0.518816,0.48302,0.031815,0.110437,-0.968185,0.968185,0.040979
