config,rate,eval_set,n_cover,n_stego,auc,pe
baseline,0.05,test250,250,250,0.511648,0.458
baseline,0.1,test250,250,250,0.514144,0.466
baseline,0.25,test250,250,250,0.527904,0.46
baseline,0.5,test250,250,250,0.524416,0.456
baseline,1.0,test250,250,250,0.547648,0.442
p1,0.05,test250,250,250,0.514768,0.47
p1,0.1,test250,250,250,0.535264,0.46
p1,0.25,test250,250,250,0.587616,0.41
p1,0.5,test250,250,250,0.623184,0.356
p1,1.0,test250,250,250,0.558352,0.426
p2,0.05,test250,250,250,0.517632,0.464
p2,0.1,test250,250,250,0.521312,0.458
p2,0.25,test250,250,250,0.562576,0.42
p2,0.5,test250,250,250,0.627664,0.358
p2,1.0,test250,250,250,0.7168,0.266
p3,0.05,test250,250,250,0.51928,0.464
p3,0.1,test250,250,250,0.513376,0.466
p3,0.25,test250,250,250,0.521776,0.472
p3,0.5,test250,250,250,0.526512,0.464
p3,1.0,test250,250,250,0.546,0.446
all,0.05,test250,250,250,0.508128,0.472
all,0.1,test250,250,250,0.512384,0.474
all,0.25,test250,250,250,0.517776,0.47
all,0.5,test250,250,250,0.527264,0.464
all,1.0,test250,250,250,0.547792,0.436
