verzija,napad,r=0.05,r=0.1,r=0.25,r=0.5,r=1
osnovni,χ²,0.464,0.42,0.308,0.162,0.092
osnovni,RS,0.484,0.484,0.472,0.47,0.466
osnovni,SPA,0.484,0.478,0.472,0.46,0.438
osnovni,StegExpose,0.458,0.466,0.46,0.456,0.442
osnovni,strojno učenje (ML),0.431,0.3682,0.2168,0.0896,0.0196
p1,χ²,0.484,0.442,0.316,0.162,0.092
p1,RS,0.462,0.436,0.398,0.386,0.454
p1,SPA,0.47,0.462,0.442,0.448,0.436
p1,StegExpose,0.47,0.46,0.41,0.356,0.426
p1,strojno učenje (ML),0.424,0.3704,0.2586,0.151,0.0186
p2,χ²,0.462,0.42,0.308,0.162,0.092
p2,RS,0.442,0.396,0.298,0.22,0.126
p2,SPA,0.446,0.4,0.3,0.214,0.142
p2,StegExpose,0.464,0.458,0.42,0.358,0.266
p2,strojno učenje (ML),0.4148,0.3424,0.2016,0.0886,0.0132
p3,χ²,0.488,0.482,0.476,0.45,0.42
p3,RS,0.484,0.48,0.478,0.462,0.446
p3,SPA,0.482,0.472,0.456,0.476,0.46
p3,StegExpose,0.464,0.466,0.472,0.464,0.446
p3,strojno učenje (ML),0.4484,0.4052,0.3064,0.2114,0.1238
p1+p3,χ²,0.484,0.484,0.476,0.46,0.424
p1+p3,RS,0.48,0.474,0.466,0.472,0.466
p1+p3,SPA,0.482,0.478,0.462,0.46,0.466
p1+p3,StegExpose,0.468,0.47,0.462,0.458,0.438
p1+p3,strojno učenje (ML),0.4268,0.3702,0.2602,0.1842,0.1254
poboljšani,χ²,0.484,0.482,0.47,0.446,0.396
poboljšani,RS,0.478,0.47,0.478,0.476,0.472
poboljšani,SPA,0.484,0.476,0.46,0.464,0.452
poboljšani,StegExpose,0.472,0.474,0.47,0.464,0.436
poboljšani,strojno učenje (ML),0.4002,0.3252,0.215,0.148,0.0856
LSB-R,χ²,0.47,0.458,0.414,0.356,0.106
LSB-R,RS,0.212,0.134,0.07,0.04,0.02
LSB-R,SPA,0.226,0.146,0.066,0.02,0.0
LSB-R,StegExpose,0.286,0.172,0.06,0.022,0.018
LSB-R,strojno učenje (ML),0.3732,0.2978,0.1882,0.1278,0.0802
LSB-M,χ²,0.488,0.484,0.466,0.444,0.384
LSB-M,RS,0.484,0.466,0.476,0.472,0.466
LSB-M,SPA,0.482,0.48,0.48,0.476,0.458
LSB-M,StegExpose,0.48,0.476,0.468,0.454,0.46
LSB-M,strojno učenje (ML),0.3744,0.2984,0.192,0.1356,0.0874
HILL,χ²,0.492,0.49,0.482,0.484,0.468
HILL,RS,0.486,0.478,0.484,0.47,0.474
HILL,SPA,0.484,0.484,0.478,0.478,0.462
HILL,StegExpose,0.484,0.478,0.464,0.474,0.472
HILL,strojno učenje (ML),0.4776,0.4582,0.4022,0.3132,0.1988
